Broj,Kupac naziv,Adresa,Mjesto,OIB kupca,"Nadnevak
(datum izdavanja raèuna)",Datum predviðene isporuke,Vrijeme izrade,Dospijeæe plaæanja,Usluga ili proizvod,JM,Kolièina,Cijena,Rabat,Iznos,Usluga ili proizvod 2,JM 2,Kolièina 2,Cijena 2,Rabat 2,Iznos 2,Usluga ili proizvod 3,JM 3,Kolièina 3,Cijena 3,Rabat 3,Iznos 3,Usluga ili proizvod  4,JM 4,Kolièina 4,Cijena 4,Rabat 4,Iznos 4,Usluga ili proizvod 5,JM 5,Kolièina 5,Cijena 5,Rabat 5,Iznos 5,UKUPNO Iznos (1+5),Napomena,Napomena predujam,"Iznos naplaæen
  GOTOVINOM
","Iznos naplaæen 
VIRMANSKI
preko raèuna","Broj
-izvoda-uplatnice","Nadnevak
datum uplate",,,,,,,
467-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
468-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
469-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
470-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
471-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
472-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
473-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
474-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
475-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
476-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
477-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
478-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
479-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
480-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
481-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
482-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
483-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
484-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
485-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
486-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
487-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
488-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
489-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
490-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
491-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
492-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
493-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
494-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
495-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
496-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
497-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
498-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
499-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
500-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
501-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
502-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
503-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
504-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
505-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
506-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
507-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
508-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
509-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
510-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
511-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
512-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
513-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
514-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
515-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
516-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
517-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
518-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
519-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
520-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
521-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
522-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
523-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
524-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
525-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
526-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
527-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
528-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
529-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
530-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
531-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
532-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
533-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
534-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
535-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
536-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
537-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
538-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
539-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
540-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
541-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
542-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
543-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
544-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
545-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
546-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
547-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
548-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
549-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
550-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
551-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
552-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
553-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
554-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
555-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
556-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
557-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
558-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
559-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
560-1-1,,,,,,,,,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € ,,,, -   € ,, -   € , -   € ,Osloboðeno PDV-a temeljem èlanka 90. st. 1  Zakona o PDV-u,,, -   € ,,,,,,,,,
